trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
219,False,"{'a': 0.5, 'e': 0.5619999999999996}",20,0,-60.14415312535394,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
220,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,0,-89.9181396850135,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
221,False,"{'a': 0.5, 'e': 0.5579999999999996}",20,9,-64.50968622192038,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
222,False,"{'a': 0.5, 'e': 0.5559999999999996}",25,0,-40.65876680489608,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
223,False,"{'a': 0.5, 'e': 0.5539999999999996}",20,0,-7.273290913412219,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
224,False,"{'a': 0.5, 'e': 0.5519999999999996}",20,0,-60.661677470835144,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
225,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,0.409228694403336,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
226,False,"{'a': 0.5, 'e': 0.5479999999999996}",25,11,17.999154912948992,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.5459999999999996}",20,6,-26.84893248627244,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
228,False,"{'a': 0.5, 'e': 0.5439999999999996}",20,0,-26.461868141402352,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
229,False,"{'a': 0.5, 'e': 0.5419999999999996}",20,0,-0.1913029090860956,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
230,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,0,-24.390522049706128,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
231,False,"{'a': 0.5, 'e': 0.5379999999999996}",30,11,22.599469012317435,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.5359999999999996}",25,0,-63.28669203584092,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
233,False,"{'a': 0.5, 'e': 0.5339999999999996}",20,11,-6.085283082742488,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.5319999999999996}",25,1,-10.149174420171029,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.5299999999999996}",30,0,-17.401961131459153,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
236,False,"{'a': 0.5, 'e': 0.5279999999999996}",20,0,-65.34685586157924,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
237,False,"{'a': 0.5, 'e': 0.5259999999999996}",30,2,-104.10044650381737,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 1}",1
238,False,"{'a': 0.5, 'e': 0.5239999999999996}",25,16,5.800421340300086,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.5219999999999996}",20,11,-9.267625694788196,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-6.196097440142093,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
241,False,"{'a': 0.5, 'e': 0.5179999999999996}",20,2,-7.567561422382629,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.5159999999999996}",25,20,9.019926231981284,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.5139999999999996}",20,0,8.915933191695656,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
244,False,"{'a': 0.5, 'e': 0.5119999999999996}",30,18,-37.748382812582676,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
245,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,1,-50.06564630204774,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
246,False,"{'a': 0.5, 'e': 0.5079999999999996}",25,0,-37.68556273315021,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
247,False,"{'a': 0.5, 'e': 0.5059999999999996}",20,0,-69.44100823165189,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
248,False,"{'a': 0.5, 'e': 0.5039999999999996}",30,0,-66.76957928477538,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",1
